aggregate,score_biology,score_chemistry,score_physics,score_math,score_english,score_government,score_literature,score_accounting,score_business_management,score_art,score_agriculture,score_ict,interest_healthcare,interest_technology,interest_business,interest_creative,interest_engineering,interest_law,interest_education,interest_agriculture,target
12,73,89,89,100,68,80,51,74,87,68,83,79,5,1,4,0,9,5,8,0,Civil Engineer
15,73,75,55,99,77,82,83,89,73,77,78,87,9,8,9,4,1,3,6,7,Pharmacist
19,53,65,64,94,76,50,40,55,74,76,82,43,8,7,4,1,4,7,9,8,Teacher
33,45,44,40,40,69,46,67,79,63,68,46,58,6,6,7,4,2,7,5,2,Teacher
10,70,96,75,89,64,80,84,99,100,93,89,69,3,6,2,5,1,9,8,4,Architect
33,53,40,54,71,55,47,56,66,40,44,61,41,4,0,2,9,7,5,7,8,Teacher
35,59,40,43,45,61,53,50,60,67,56,51,53,9,5,6,3,6,7,0,5,Teacher
25,61,65,70,70,62,44,74,68,46,52,75,71,3,6,3,8,0,7,6,1,Teacher
16,64,71,88,57,79,95,51,78,79,87,57,56,2,3,7,5,7,0,7,3,Nurse
13,90,97,52,98,65,64,40,68,80,74,73,63,7,6,2,0,0,2,5,6,Nurse
35,58,65,64,72,60,81,56,100,69,47,43,67,4,5,2,8,4,7,0,4,Teacher
33,53,71,75,54,46,52,70,61,69,86,63,47,5,6,1,9,1,9,0,7,Teacher
16,82,100,65,50,85,54,58,83,73,65,77,69,6,5,2,8,9,5,9,9,Nurse
25,40,68,54,74,61,70,56,69,87,51,60,55,2,9,6,9,4,9,4,6,Teacher
17,56,69,67,64,100,80,55,88,100,89,51,67,2,4,5,8,4,0,3,4,Accountant
31,70,68,52,40,53,62,60,71,89,66,68,62,1,0,3,7,1,2,0,0,Teacher
16,73,84,80,66,72,68,67,88,81,65,89,80,3,8,4,8,3,9,4,8,Accountant
8,87,89,100,79,96,84,84,100,100,100,100,88,5,2,0,3,8,2,8,6,Lawyer
25,91,78,40,55,80,44,74,72,52,62,40,89,6,1,8,9,9,0,5,6,Teacher
13,73,83,58,59,69,77,85,100,93,78,80,65,1,9,3,7,8,6,0,2,Nurse
